NOMBRE,PRESENTACIÓN,MONODROGA,LABORATORIO,VADEMÉCUM,FCIAS. PROPIAS,FCIAS. CONVENIDAS,OBSERV
5-ASA 400,400 mg sup.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 500,500 mg comp.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 500,500 mg comp.x 60,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 500,500 mg comp.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 500,500 mg comp.x 60,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 500,500 mg comp.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 500,500 mg comp.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 500,500 mg comp.x 60,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 500,500 mg comp.x 60,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 800,800 mg comp.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 800,800 mg comp.x 60,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 800,800 mg comp.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 800,800 mg comp.x 60,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 800,800 mg comp.x 30,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 800,800 mg comp.x 60,mesalazina,Domínguez,AMBULATORIO UNIFICADO,50%,40%,
5-ASA 800,800 mg comp.x 30,mesalazina,Domínguez,CRONICOS,70%,70%,
5-ASA 800,800 mg comp.x 60,mesalazina,Domínguez,CRONICOS,70%,70%,
5XR 1000,1000 mg comp.x 60,mesalazina,Ariston,CRONICOS,70%,70%,
5XR 1000,1000 mg comp.x 30,mesalazina,Ariston,CRONICOS,70%,70%,
5XR 1000,1000 mg comp.x 30,mesalazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
5XR 1000,1000 mg comp.x 60,mesalazina,Ariston,CRONICOS,70%,70%,
5XR 1000,1000 mg comp.x 30,mesalazina,Ariston,CRONICOS,70%,70%,
5XR 1000,1000 mg comp.x 30,mesalazina,Ariston,AMBULATORIO UNIFICADO,50%,40%,
ABAXON,10 mg x 10 comp.rec.,rivaroxabán,Roemmers,AMBULATORIO COMPLEMENTARIO,45%,40%,
ABAXON,10 mg x 30 comp.rec.,rivaroxabán,Roemmers,AMBULATORIO COMPLEMENTARIO,45%,40%,
ABAXON,20 mg x 30 comp.rec.,rivaroxabán,Roemmers,AMBULATORIO COMPLEMENTARIO,45%,40%,
ABAXON,10 mg x 10 comp.rec.,rivaroxabán,Roemmers,AMBULATORIO COMPLEMENTARIO,45%,40%,
ABAXON,10 mg x 30 comp.rec.,rivaroxabán,Roemmers,AMBULATORIO COMPLEMENTARIO,45%,40%,
ABAXON,20 mg x 30 comp.rec.,rivaroxabán,Roemmers,AMBULATORIO COMPLEMENTARIO,45%,40%,
ABLOOM,10 mg comp.x 30,amlodipina,Duncan,AMBULATORIO UNIFICADO,50%,40%,
ABLOOM,10 mg comp.x 30,amlodipina,Duncan,CRONICOS,70%,70%,
ABLOOM,10 mg comp.x 30,amlodipina,Duncan,CRONICOS,70%,70%,
ABLOOM,10 mg comp.x 30,amlodipina,Duncan,AMBULATORIO UNIFICADO,50%,40%,
ABLOOM 5,5 mg comp.x 30,amlodipina,Duncan,CRONICOS,70%,70%,
ABLOOM 5,5 mg comp.x 30,amlodipina,Duncan,AMBULATORIO UNIFICADO,50%,40%,
ABLOOM 5,5 mg comp.x 30,amlodipina,Duncan,CRONICOS,70%,70%,
ABLOOM 5,5 mg comp.x 30,amlodipina,Duncan,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,90 mg comp.x 50,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,60 mg comp.x 50,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,120 mg comp.x 50,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,120 mg comp.x 20,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,90 mg comp.x 50,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,60 mg comp.x 50,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,120 mg comp.x 50,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,120 mg comp.x 20,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,120 mg comp.x 50,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,120 mg comp.x 20,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,60 mg comp.x 50,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,90 mg comp.x 50,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX,120 mg comp.x 20,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,120 mg comp.x 50,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,60 mg comp.x 50,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX,90 mg comp.x 50,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX AP,120 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX AP,120 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX AP,120 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX AP,120 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,300 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX CRONOS,240 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX CRONOS,180 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX CRONOS,300 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,240 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,180 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,180 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,240 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,300 mg caps.x 30,diltiazem,Roemmers,AMBULATORIO UNIFICADO,50%,40%,
ACALIX CRONOS,180 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX CRONOS,240 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACALIX CRONOS,300 mg caps.x 30,diltiazem,Roemmers,CRONICOS,70%,70%,
ACANTEX,1 g IM f.a.x 1,ceftriaxona,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACANTEX,500 mg IM f.a.x 1,ceftriaxona,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACANTEX,1 g IM f.a.x 1,ceftriaxona,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACANTEX,500 mg IM f.a.x 1,ceftriaxona,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACC EXPECTORANTE,600 mg comp.efer.x 10,acetilcisteína,Sandoz,AMBULATORIO UNIFICADO,50%,40%,
ACC EXPECTORANTE,600 mg comp.efer.x 20,acetilcisteína,Sandoz,AMBULATORIO UNIFICADO,50%,40%,
ACC EXPECTORANTE,600 mg comp.efer.x 10,acetilcisteína,Sandoz,AMBULATORIO UNIFICADO,50%,40%,
ACC EXPECTORANTE,600 mg comp.efer.x 20,acetilcisteína,Sandoz,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 10,acetilcisteína,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 20,acetilcisteína,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,200 mg tab.efer.x 10,acetilcisteína,Siegfried,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 12,acetilcisteína,Siegfried,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 60,acetilcisteína,Siegfried,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 10,acetilcisteína,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 20,acetilcisteína,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,200 mg tab.efer.x 10,acetilcisteína,Siegfried,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 12,acetilcisteína,Siegfried,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK,600 mg tab.efer.x 60,acetilcisteína,Siegfried,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK JARABE,jbe.x 100 ml,acetilcisteína,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACEMUK JARABE,jbe.x 100 ml,acetilcisteína,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACENOCOUMAROL ROSPAW,4 mg comp.x 20,acenocumarol,Rospaw,AMBULATORIO UNIFICADO,50%,40%,
ACENOCOUMAROL ROSPAW,4 mg comp.x 20,acenocumarol,Rospaw,CRONICOS,70%,70%,
ACENOCOUMAROL ROSPAW,4 mg comp.x 20,acenocumarol,Rospaw,AMBULATORIO UNIFICADO,50%,40%,
ACENOCOUMAROL ROSPAW,4 mg comp.x 20,acenocumarol,Rospaw,CRONICOS,70%,70%,
ACERPES,400 mg comp.x 20,aciclovir,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACERPES,800 mg comp.x 20,aciclovir,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACERPES,400 mg comp.x 20,aciclovir,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACERPES,800 mg comp.x 20,aciclovir,Investi,AMBULATORIO UNIFICADO,50%,40%,
ACETA,250 mg comp.x 20,acetazolamida,Novoplos,AMBULATORIO UNIFICADO,50%,40%,
ACETA,250 mg comp.x 20,acetazolamida,Novoplos,AMBULATORIO UNIFICADO,50%,40%,
ACETILCISTEINA TEVA,600 mg comp.efer.x 10,acetilcisteína,Teva argentina,AMBULATORIO UNIFICADO,50%,40%,
ACETILCISTEINA TEVA,600 mg comp.efer.x 10,acetilcisteína,Teva argentina,AMBULATORIO UNIFICADO,50%,40%,
ACI-TIP,comp.mast.x 10,"aluminio,hidr.+magn.hidr.+simet.",Investi,AMBULATORIO UNIFICADO,50%,40%,
ACI-TIP,comp.mast.x 50,"aluminio,hidr.+magn.hidr.+simet.",Investi,AMBULATORIO UNIFICADO,50%,40%,
ACI-TIP,comp.mast.x 10,"aluminio,hidr.+magn.hidr.+simet.",Investi,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACI-TIP,comp.mast.x 50,"aluminio,hidr.+magn.hidr.+simet.",Investi,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACI-TIP,comp.mast.x 10,"aluminio,hidr.+magn.hidr.+simet.",Investi,AMBULATORIO UNIFICADO,50%,40%,
ACI-TIP,comp.mast.x 50,"aluminio,hidr.+magn.hidr.+simet.",Investi,AMBULATORIO UNIFICADO,50%,40%,
ACI-TIP,comp.mast.x 10,"aluminio,hidr.+magn.hidr.+simet.",Investi,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACI-TIP,comp.mast.x 50,"aluminio,hidr.+magn.hidr.+simet.",Investi,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO OMEGA,1 mg comp.x 30,"fólico,ác.",Omega,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO OMEGA,5 mg comp.x 30,"fólico,ác.",Omega,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO OMEGA,1 mg comp.x 30,"fólico,ác.",Omega,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO OMEGA,5 mg comp.x 30,"fólico,ác.",Omega,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO OMEGA,1 mg comp.x 30,"fólico,ác.",Omega,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO OMEGA,5 mg comp.x 30,"fólico,ác.",Omega,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO OMEGA,1 mg comp.x 30,"fólico,ác.",Omega,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO OMEGA,5 mg comp.x 30,"fólico,ác.",Omega,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO VANNIER,1 mg comp.x 30,"fólico,ác.",Vannier,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO VANNIER,10 mg comp.x 30,"fólico,ác.",Vannier,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO VANNIER,5 mg comp.x 30,"fólico,ác.",Vannier,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO VANNIER,1 mg comp.x 30,"fólico,ác.",Vannier,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO VANNIER,10 mg comp.x 30,"fólico,ác.",Vannier,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO VANNIER,5 mg comp.x 30,"fólico,ác.",Vannier,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO VANNIER,1 mg comp.x 30,"fólico,ác.",Vannier,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO VANNIER,10 mg comp.x 30,"fólico,ác.",Vannier,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO VANNIER,5 mg comp.x 30,"fólico,ác.",Vannier,AMBULATORIO UNIFICADO,50%,40%,
ACIDO FOLICO VANNIER,1 mg comp.x 30,"fólico,ác.",Vannier,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO VANNIER,10 mg comp.x 30,"fólico,ác.",Vannier,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIDO FOLICO VANNIER,5 mg comp.x 30,"fólico,ác.",Vannier,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 30,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL,1 mg comp.x 60,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL,1 mg comp.x 30,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 60,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 30,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 60,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 30,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL,1 mg comp.x 60,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL,1 mg comp.x 30,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 60,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 30,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL,1 mg comp.x 60,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL 10,10 mg comp.x 30,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 10,10 mg comp.x 60,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 10,10 mg comp.x 30,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 10,10 mg comp.x 60,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 10,10 mg comp.x 30,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL 10,10 mg comp.x 30,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 10,10 mg comp.x 60,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 10,10 mg comp.x 30,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 10,10 mg comp.x 60,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 10,10 mg comp.x 30,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 30,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 5,5 mg comp.x 60,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 5,5 mg comp.x 30,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 60,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 60,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 30,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 30,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 5,5 mg comp.x 60,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL 5,5 mg comp.x 30,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 60,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 60,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL 5,5 mg comp.x 30,"fólico,ác.",Domínguez,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACIFOL GOTAS,fco.x 10 ml,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL GOTAS,fco.x 10 ml,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACIFOL GOTAS,fco.x 10 ml,"fólico,ác.",Domínguez,AMBULATORIO UNIFICADO,50%,40%,
ACIFOL GOTAS,fco.x 10 ml,"fólico,ác.",Domínguez,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOSAN,0.4 mg caps.x 30,tamsulosina,Gobbi,AMBULATORIO UNIFICADO,50%,40%,
ACLOSAN,0.4 mg caps.x 30,tamsulosina,Gobbi,CRONICOS,70%,70%,
ACLOSAN,0.4 mg caps.x 30,tamsulosina,Gobbi,AMBULATORIO UNIFICADO,50%,40%,
ACLOSAN,0.4 mg caps.x 30,tamsulosina,Gobbi,CRONICOS,70%,70%,
ACLOXIGENAC,75 mg comp.rec.x 10,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 15,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,100 mg comp.rec.x 15,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,50 mg comp.rec.x 10,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,50 mg comp.rec.x 15,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,75 mg comp.rec.x 10,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,75 mg comp.rec.x 15,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,100 mg comp.rec.x 15,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 10,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 15,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 10,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 15,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 10,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 15,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 10,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 15,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,100 mg comp.rec.x 15,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,50 mg comp.rec.x 10,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,50 mg comp.rec.x 15,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,75 mg comp.rec.x 10,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,75 mg comp.rec.x 15,diclofenac sódico,Eczane,AMBULATORIO UNIFICADO,50%,40%,
ACLOXIGENAC,100 mg comp.rec.x 15,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 10,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 15,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 10,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,75 mg comp.rec.x 15,diclofenac sódico,Eczane,ONCOLÓGICO AMBULATORIO,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 10,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLOXIGENAC,50 mg comp.rec.x 15,diclofenac sódico,Eczane,PMI MADRE,100%,100%,Previa Inscripción al Plan
ACLUSIN,100 mg comp.x 30,cilostazol,Casasco,AMBULATORIO UNIFICADO,50%,40%,
ACLUSIN,100 mg comp.x 60,cilostazol,Casasco,AMBULATORIO UNIFICADO,50%,40%,
